,Cost,Lead Time,Risk,Rework Effectivness,Average Iterations,FPY,Physical Cost,Work Efficiency,Average Consitency,T_Acc (MBSE),T_I (MBSE),DL_Eng,DL_EKM,New Tool,T_Acc (new),T_I (new),T_Usab,T_Acc (LFSystemSimulator),T_I (LFSystemSimulator),T_Acc (CAD),T_I (CAD),T_Acc (IDE),T_I (IDE),T_Acc (ECAD),T_I (ECAD),T_Acc (FEM),T_I (FEM),T_Acc (CurcuitSimulation),T_I (CurcuitSimulation)
1,,,,,,,,,,0.5,0.5,2,1,False,0.5,0.5,1,0.5,0.8,0.8,0.2,0.5,0.5,0.5,0.8,0.8,0.5,0.2,0.2
2,,,,,,,,,,0.2,0.2,3,3,False,0.2,0.2,3,0.8,0.8,0.2,0.8,0.8,0.2,0.8,0.2,0.8,0.2,0.8,0.8
3,,,,,,,,,,0.2,0.2,3,1,False,0.5,0.8,2,0.2,0.5,0.8,0.8,0.2,0.5,0.5,0.2,0.5,0.2,0.8,0.8
4,,,,,,,,,,0.2,0.8,3,1,False,0.8,0.2,1,0.8,0.2,0.2,0.8,0.8,0.2,0.2,0.8,0.2,0.8,0.2,0.8
5,,,,,,,,,,0.5,0.2,1,1,False,0.5,0.8,3,0.2,0.8,0.5,0.8,0.2,0.2,0.8,0.8,0.8,0.8,0.8,0.2
6,,,,,,,,,,0.2,0.5,3,2,False,0.2,0.2,1,0.2,0.2,0.2,0.8,0.8,0.8,0.2,0.2,0.8,0.2,0.2,0.2
7,,,,,,,,,,0.8,0.8,1,3,False,0.8,0.2,3,0.8,0.8,0.2,0.2,0.8,0.2,0.2,0.2,0.2,0.8,0.8,0.8
8,,,,,,,,,,0.8,0.2,2,2,True,0.8,0.2,3,0.5,0.8,0.2,0.2,0.8,0.2,0.8,0.2,0.8,0.5,0.5,0.5
9,,,,,,,,,,0.2,0.8,3,3,False,0.2,0.2,1,0.2,0.5,0.8,0.8,0.2,0.5,0.2,0.8,0.8,0.5,0.8,0.2
10,,,,,,,,,,0.5,0.5,2,2,False,0.8,0.5,2,0.8,0.5,0.8,0.5,0.8,0.5,0.2,0.2,0.5,0.2,0.8,0.2
11,,,,,,,,,,0.2,0.8,1,3,True,0.2,0.2,1,0.8,0.2,0.8,0.2,0.8,0.2,0.2,0.8,0.2,0.8,0.8,0.8
12,,,,,,,,,,0.2,0.2,1,3,False,0.2,0.8,2,0.8,0.2,0.8,0.2,0.2,0.8,0.8,0.8,0.8,0.8,0.8,0.8
13,,,,,,,,,,0.2,0.2,2,3,False,0.5,0.8,3,0.2,0.2,0.2,0.2,0.2,0.8,0.2,0.8,0.2,0.8,0.2,0.2
14,,,,,,,,,,0.2,0.5,2,3,False,0.8,0.2,3,0.2,0.8,0.8,0.8,0.5,0.8,0.8,0.2,0.2,0.2,0.5,0.5
15,,,,,,,,,,0.8,0.8,2,1,False,0.2,0.8,3,0.8,0.2,0.2,0.2,0.8,0.2,0.8,0.8,0.2,0.8,0.2,0.2
16,,,,,,,,,,0.2,0.2,1,1,True,0.5,0.8,1,0.2,0.2,0.2,0.5,0.8,0.2,0.2,0.8,0.5,0.8,0.2,0.2
17,,,,,,,,,,0.2,0.2,1,1,False,0.5,0.2,1,0.2,0.2,0.2,0.2,0.8,0.5,0.8,0.8,0.8,0.2,0.8,0.2
18,,,,,,,,,,0.8,0.2,1,3,False,0.8,0.8,1,0.8,0.5,0.2,0.2,0.5,0.2,0.2,0.8,0.8,0.8,0.2,0.2
19,,,,,,,,,,0.2,0.2,1,2,False,0.2,0.5,1,0.2,0.8,0.8,0.2,0.5,0.2,0.8,0.2,0.2,0.2,0.2,0.2
20,,,,,,,,,,0.5,0.8,3,1,False,0.8,0.8,2,0.8,0.8,0.2,0.2,0.2,0.8,0.2,0.5,0.2,0.5,0.5,0.2
21,,,,,,,,,,0.5,0.2,1,3,False,0.5,0.2,2,0.8,0.5,0.8,0.2,0.5,0.5,0.2,0.5,0.8,0.2,0.2,0.5
22,,,,,,,,,,0.2,0.8,1,3,False,0.5,0.2,2,0.2,0.8,0.5,0.8,0.8,0.2,0.8,0.8,0.5,0.2,0.2,0.2
23,,,,,,,,,,0.2,0.8,3,2,True,0.5,0.8,2,0.8,0.5,0.5,0.8,0.8,0.2,0.2,0.5,0.5,0.5,0.8,0.5
24,,,,,,,,,,0.5,0.2,1,3,False,0.5,0.2,1,0.8,0.2,0.5,0.8,0.5,0.2,0.8,0.5,0.2,0.5,0.5,0.8
25,,,,,,,,,,0.2,0.5,3,3,True,0.5,0.8,3,0.8,0.8,0.2,0.2,0.2,0.2,0.2,0.8,0.8,0.5,0.2,0.8
26,,,,,,,,,,0.8,0.5,2,3,False,0.2,0.2,1,0.8,0.2,0.2,0.2,0.2,0.8,0.2,0.8,0.2,0.8,0.8,0.2
27,,,,,,,,,,0.2,0.8,3,3,False,0.8,0.8,1,0.8,0.2,0.5,0.8,0.2,0.2,0.2,0.2,0.2,0.2,0.8,0.8
28,,,,,,,,,,0.8,0.5,1,3,False,0.8,0.8,3,0.5,0.8,0.8,0.2,0.8,0.8,0.8,0.2,0.8,0.8,0.2,0.2
29,,,,,,,,,,0.8,0.8,2,2,False,0.2,0.2,3,0.2,0.8,0.8,0.5,0.8,0.8,0.2,0.2,0.2,0.2,0.8,0.5
30,,,,,,,,,,0.5,0.2,2,1,False,0.5,0.5,2,0.2,0.2,0.5,0.8,0.5,0.8,0.8,0.2,0.5,0.8,0.5,0.2
31,,,,,,,,,,0.8,0.2,3,3,True,0.5,0.2,1,0.2,0.2,0.5,0.8,0.2,0.2,0.8,0.8,0.8,0.8,0.8,0.8
32,,,,,,,,,,0.2,0.2,1,2,False,0.8,0.2,3,0.8,0.2,0.5,0.5,0.2,0.2,0.8,0.2,0.8,0.8,0.8,0.8
33,,,,,,,,,,0.8,0.8,1,2,False,0.2,0.8,2,0.8,0.2,0.8,0.5,0.2,0.5,0.5,0.2,0.2,0.8,0.8,0.5
34,,,,,,,,,,0.5,0.8,2,1,False,0.8,0.8,3,0.8,0.8,0.5,0.5,0.2,0.2,0.2,0.8,0.8,0.8,0.2,0.8
35,,,,,,,,,,0.5,0.2,2,1,False,0.2,0.2,1,0.5,0.2,0.2,0.5,0.5,0.5,0.2,0.8,0.8,0.8,0.2,0.2
36,,,,,,,,,,0.8,0.2,3,1,False,0.8,0.8,3,0.8,0.8,0.5,0.8,0.8,0.5,0.2,0.2,0.8,0.5,0.2,0.8
37,,,,,,,,,,0.2,0.5,2,3,False,0.2,0.8,1,0.8,0.2,0.5,0.8,0.5,0.2,0.2,0.5,0.8,0.8,0.5,0.8
38,,,,,,,,,,0.2,0.2,3,2,False,0.5,0.5,1,0.2,0.2,0.5,0.2,0.8,0.8,0.2,0.8,0.2,0.2,0.5,0.8
39,,,,,,,,,,0.2,0.8,2,1,False,0.2,0.8,1,0.8,0.8,0.5,0.2,0.8,0.8,0.8,0.2,0.2,0.5,0.8,0.8
40,,,,,,,,,,0.8,0.2,2,2,False,0.2,0.2,1,0.8,0.8,0.8,0.2,0.2,0.8,0.2,0.2,0.2,0.8,0.2,0.8
41,,,,,,,,,,0.5,0.8,3,2,False,0.2,0.2,3,0.5,0.5,0.8,0.8,0.2,0.2,0.2,0.2,0.8,0.2,0.5,0.8
42,,,,,,,,,,0.8,0.5,3,2,False,0.8,0.8,1,0.2,0.5,0.5,0.5,0.5,0.8,0.2,0.2,0.5,0.2,0.8,0.5
43,,,,,,,,,,0.2,0.2,1,1,True,0.8,0.2,2,0.2,0.2,0.2,0.2,0.5,0.2,0.2,0.2,0.2,0.2,0.8,0.5
44,,,,,,,,,,0.5,0.2,2,1,False,0.8,0.5,3,0.8,0.5,0.5,0.2,0.8,0.8,0.2,0.8,0.5,0.5,0.8,0.2
45,,,,,,,,,,0.8,0.8,3,3,False,0.8,0.2,1,0.2,0.8,0.8,0.2,0.8,0.2,0.8,0.2,0.8,0.5,0.2,0.2
46,,,,,,,,,,0.2,0.8,2,3,True,0.8,0.5,2,0.2,0.5,0.2,0.5,0.5,0.8,0.5,0.2,0.8,0.8,0.8,0.5
47,,,,,,,,,,0.8,0.2,1,1,False,0.5,0.5,3,0.8,0.2,0.2,0.5,0.2,0.8,0.2,0.8,0.5,0.8,0.8,0.2
48,,,,,,,,,,0.5,0.2,1,3,False,0.2,0.8,3,0.8,0.2,0.2,0.8,0.2,0.2,0.8,0.5,0.2,0.2,0.8,0.5
49,,,,,,,,,,0.2,0.2,1,2,False,0.2,0.8,1,0.8,0.8,0.8,0.8,0.2,0.8,0.2,0.2,0.8,0.8,0.8,0.2
50,,,,,,,,,,0.5,0.2,1,1,False,0.5,0.2,3,0.8,0.2,0.8,0.8,0.8,0.2,0.5,0.2,0.5,0.5,0.2,0.5
51,,,,,,,,,,0.8,0.5,1,1,False,0.8,0.8,3,0.2,0.8,0.2,0.8,0.2,0.8,0.8,0.2,0.5,0.8,0.2,0.8
52,,,,,,,,,,0.2,0.2,2,2,False,0.5,0.2,3,0.8,0.5,0.2,0.8,0.5,0.5,0.2,0.8,0.2,0.8,0.5,0.2
53,,,,,,,,,,0.8,0.8,1,2,False,0.8,0.5,2,0.8,0.2,0.8,0.2,0.5,0.5,0.2,0.8,0.5,0.5,0.5,0.8
54,,,,,,,,,,0.2,0.5,3,1,False,0.8,0.2,3,0.5,0.5,0.2,0.8,0.5,0.2,0.8,0.5,0.2,0.2,0.2,0.5
55,,,,,,,,,,0.2,0.2,3,1,False,0.8,0.2,1,0.2,0.8,0.2,0.2,0.2,0.5,0.8,0.5,0.8,0.8,0.8,0.2
56,,,,,,,,,,0.5,0.5,3,3,False,0.8,0.8,1,0.2,0.2,0.2,0.5,0.8,0.2,0.8,0.2,0.2,0.5,0.8,0.5
57,,,,,,,,,,0.8,0.8,1,3,False,0.2,0.2,3,0.8,0.8,0.8,0.8,0.8,0.8,0.5,0.8,0.8,0.5,0.2,0.5
58,,,,,,,,,,0.2,0.2,1,1,False,0.2,0.2,1,0.8,0.8,0.2,0.8,0.2,0.8,0.8,0.2,0.8,0.8,0.2,0.2
59,,,,,,,,,,0.8,0.8,2,3,False,0.5,0.5,2,0.5,0.2,0.8,0.5,0.2,0.2,0.5,0.8,0.2,0.2,0.8,0.8
60,,,,,,,,,,0.5,0.8,3,2,False,0.8,0.8,2,0.2,0.2,0.5,0.5,0.8,0.8,0.5,0.8,0.2,0.5,0.5,0.2
61,,,,,,,,,,0.5,0.2,3,3,False,0.2,0.2,2,0.2,0.2,0.2,0.8,0.2,0.2,0.2,0.2,0.2,0.5,0.8,0.5
62,,,,,,,,,,0.5,0.2,1,1,False,0.8,0.8,3,0.2,0.2,0.8,0.8,0.5,0.2,0.5,0.2,0.2,0.5,0.2,0.2
63,,,,,,,,,,0.8,0.8,3,1,False,0.2,0.2,1,0.8,0.8,0.2,0.8,0.8,0.2,0.8,0.2,0.8,0.2,0.2,0.2
